#size	rtt
1	26.226000
1	21.934500
1	22.053500
1	23.961000
1	23.007000
1	23.484000
1	21.815000
1	21.576500
1	21.815000
1	21.934500
1	21.934500
1	22.053500
1	23.007000
1	25.868000
1	21.815000
1	20.265500
1	24.199000
1	20.265500
1	23.007000
1	23.603000
1	22.768500
1	22.530500
1	21.934500
1	21.934500
1	21.576500
1	21.815000
1	21.576500
1	22.292000
1	20.503500
1	22.172500
1	22.292000
1	21.815000
1	23.603000
1	21.576500
1	21.815000
1	22.053500
1	23.007000
1	22.053500
1	23.126500
1	21.934500
1	21.576500
1	21.815000
1	21.815000
1	21.815000
1	21.934500
1	21.934500
1	21.696000
1	21.815000
1	26.822000
1	23.007000
1	24.795500
1	22.172500
1	22.292000
1	21.934500
1	23.126500
1	21.934500
1	21.934500
1	27.179500
1	21.576500
1	24.080000
1	23.245500
1	24.080000
1	30.040500
1	21.696000
1	21.815000
1	21.696000
1	21.457500
1	21.457500
1	23.603000
1	23.603000
1	22.053500
1	21.934500
1	21.219000
1	21.696000
1	23.484000
1	23.007000
1	22.292000
1	23.126500
1	22.053500
1	22.172500
1	23.007000
1	21.934500
1	23.603000
1	22.172500
1	22.530500
1	21.815000
1	21.576500
1	22.292000
1	22.172500
1	22.172500
1	23.365000
1	21.934500
1	22.172500
1	31.948000
1	22.172500
1	22.292000
1	22.292000
1	22.649500
1	22.053500
1	22.411000
1	21.338000
1	27.537000
1	22.172500
1	22.172500
1	22.411000
1	41.127000
1	26.226000
1	46.253000
1	24.199000
1	22.172500
1	29.087000
1	22.053500
1	31.471000
1	21.457500
1	36.716000
1	22.411000
1	21.934500
1	24.199000
1	21.219000
1	42.676500
1	59.843000
1	28.848500
1	25.510500
1	25.153000
1	22.530500
1	32.663000
1	35.881500
1	25.987500
1	26.106500
1	24.437500
1	23.365000
1	23.722500
1	25.272000
1	24.557000
1	24.080000
1	38.146500
1	22.649500
1	22.530500
1	21.696000
1	21.696000
1	21.815000
1	23.126500
1	23.007000
1	21.934500
1	23.484000
1	21.576500
1	22.888000
1	22.172500
1	22.172500
1	22.172500
1	22.888000
1	27.298500
1	21.696000
1	29.802000
1	21.696000
1	22.053500
1	24.199000
1	22.888000
1	28.371500
1	22.768500
1	22.649500
1	22.888000
1	21.815000
1	21.576500
1	22.292000
1	20.623000
1	21.934500
1	32.424500
1	27.656500
1	23.603000
1	23.841500
1	25.033500
1	25.510500
1	25.391500
1	23.722500
1	23.245500
1	23.365000
1	23.365000
1	30.398000
1	31.113500
1	32.424500
1	25.272000
1	23.603000
1	25.153000
1	30.040500
1	26.822000
1	30.159500
1	24.557000
1	29.683000
1	29.325000
1	27.775500
1	27.298500
1	26.226000
1	28.014000
1	27.298500
1	30.994000
1	25.033500
1	26.822000
1	25.272000
1	25.391500
1	24.080000
1	21.934500
1	23.961000
1	22.053500
1	27.298500
1	23.365000
1	21.815000
1	22.292000
1	23.245500
1	23.484000
1	23.603000
1	24.199000
1	23.961000
1	23.126500
1	21.576500
1	23.603000
1	22.411000
1	22.530500
1	23.841500
1	23.961000
1	24.676000
1	22.768500
1	24.199000
1	23.841500
1	25.033500
1	24.080000
1	22.411000
1	22.888000
1	25.868000
1	23.365000
1	22.530500
1	20.980500
1	20.861500
1	23.722500
1	22.411000
1	21.934500
1	22.292000
1	22.530500
1	20.980500
1	22.888000
1	22.530500
1	21.815000
1	23.007000
1	22.768500
1	22.292000
1	22.411000
1	23.484000
1	23.365000
1	24.557000
1	22.292000
1	22.172500
1	22.292000
1	21.815000
1	23.484000
1	23.126500
1	21.934500
1	25.272000
1	22.411000
1	21.815000
1	22.649500
1	22.768500
1	22.292000
1	22.172500
1	21.815000
1	22.172500
1	22.053500
1	21.934500
1	22.768500
1	22.292000
1	21.696000
1	20.980500
1	22.172500
1	22.411000
1	22.053500
1	20.980500
1	22.530500
1	22.768500
1	21.696000
1	23.603000
1	24.318500
1	21.338000
1	22.768500
1	22.292000
1	23.245500
1	22.053500
1	22.411000
1	34.928000
1	23.007000
1	22.768500
1	22.292000
1	22.172500
1	23.126500
1	22.888000
1	21.338000
1	23.484000
1	22.292000
1	24.676000
1	24.437500
1	23.365000
1	22.411000
1	23.603000
1	26.583500
1	25.033500
1	22.292000
1	24.080000
1	23.603000
1	23.722500
1	21.696000
1	23.245500
1	21.457500
1	21.576500
1	35.405000
1	23.007000
1	33.855000
1	23.007000
1	20.861500
1	20.980500
1	25.391500
1	30.755500
1	23.722500
1	21.815000
1	22.053500
1	23.365000
1	23.126500
1	24.318500
1	24.557000
1	21.934500
1	22.172500
1	23.126500
1	23.126500
1	23.126500
1	20.861500
1	22.649500
1	22.888000
1	21.219000
1	20.742000
1	22.172500
1	22.292000
1	20.742000
1	22.053500
1	21.457500
1	21.100000
1	20.980500
1	21.219000
1	22.292000
1	21.338000
1	21.100000
1	21.100000
1	21.576500
1	22.768500
1	23.007000
1	21.457500
1	22.530500
1	21.338000
1	21.338000
1	21.457500
1	21.457500
1	22.172500
1	21.100000
1	20.623000
1	22.649500
1	20.861500
1	20.980500
1	21.696000
1	22.292000
1	22.768500
1	22.411000
1	22.411000
1	22.649500
1	22.530500
1	21.219000
1	21.100000
1	21.815000
1	22.530500
1	20.980500
1	22.530500
1	21.338000
1	22.053500
1	23.126500
1	22.411000
1	27.060500
1	25.510500
1	23.245500
1	21.457500
1	22.649500
1	22.411000
1	21.576500
1	21.100000
1	31.828500
1	51.975000
1	25.272000
1	22.888000
1	23.126500
1	22.172500
1	22.411000
1	33.140000
1	25.510500
1	51.379000
1	23.007000
1	23.841500
1	26.345000
1	23.484000
1	27.537000
1	26.583500
1	31.828500
1	23.841500
1	25.868000
1	27.775500
1	25.033500
1	21.576500
1	22.292000
1	21.457500
1	22.411000
1	21.696000
1	21.338000
1	21.457500
1	21.576500
1	21.576500
1	20.027000
1	21.100000
1	22.888000
1	23.245500
1	21.696000
1	23.603000
1	21.576500
1	21.100000
1	21.338000
1	31.948000
1	21.576500
1	21.815000
1	23.007000
1	22.530500
1	23.245500
1	23.126500
1	26.464000
1	26.226000
1	24.676000
1	24.199000
1	23.245500
1	22.768500
1	22.649500
1	22.768500
1	27.775500
1	25.868000
1	24.795500
1	26.226000
1	23.603000
1	23.961000
1	23.007000
1	23.245500
1	22.530500
1	25.391500
1	22.530500
1	24.199000
1	21.815000
1	21.100000
1	24.914500
1	22.053500
1	25.391500
1	27.656500
1	22.292000
1	23.841500
1	28.252500
1	29.802000
1	30.159500
1	31.948000
1	24.557000
1	30.398000
1	30.755500
1	25.510500
1	32.901500
1	24.557000
1	22.292000
1	23.484000
1	26.822000
1	20.623000
1	21.100000
1	21.934500
1	20.980500
1	20.623000
1	29.087000
1	32.305500
1	30.040500
1	23.722500
1	56.266500
1	47.326000
1	42.796000
1	39.696500
1	39.339000
1	41.484500
1	32.782500
1	35.524000
1	32.782500
1	26.822000
1	36.835500
1	36.120000
1	33.140000
1	23.365000
1	21.934500
1	35.524000
1	29.921500
1	38.266000
1	26.106500
1	25.272000
1	28.014000
1	28.967500
1	24.199000
1	24.795500
1	25.749000
1	29.563500
1	24.676000
1	30.517500
1	30.159500
1	25.749000
1	28.133000
1	23.603000
1	29.325000
1	26.464000
1	33.736000
1	22.053500
1	21.338000
1	21.576500
1	21.696000
1	20.384500
1	21.100000
1	21.457500
1	21.338000
1	21.576500
1	21.100000
1	21.696000
1	21.219000
1	21.815000
1	22.053500
1	22.649500
1	21.457500
1	21.576500
1	21.696000
1	21.934500
1	21.815000
1	28.729000
1	27.179500
1	38.743000
1	23.126500
1	30.040500
1	28.252500
1	34.451000
1	22.768500
1	26.702500
1	23.365000
1	27.298500
1	37.193000
1	37.908500
1	26.822000
1	27.179500
1	26.583500
1	22.530500
1	24.199000
1	24.437500
1	21.696000
1	21.576500
1	27.894500
1	20.623000
1	21.696000
1	23.961000
1	28.967500
1	24.795500
1	22.292000
1	26.345000
1	23.365000
1	21.338000
1	22.768500
1	21.815000
1	22.649500
1	25.033500
1	21.815000
1	21.696000
1	22.768500
1	20.384500
1	21.338000
1	21.576500
1	20.742000
1	23.484000
1	21.100000
1	20.861500
1	20.623000
1	20.861500
1	21.934500
1	20.980500
1	21.457500
1	22.411000
1	23.961000
1	21.815000
1	21.338000
1	21.338000
1	21.815000
1	22.172500
1	22.172500
1	21.934500
1	21.696000
1	21.338000
1	21.696000
1	20.503500
1	20.861500
1	22.530500
1	21.338000
1	23.245500
1	20.027000
1	21.338000
1	21.338000
1	21.576500
1	21.338000
1	21.219000
1	21.457500
1	21.696000
1	21.576500
1	22.411000
1	22.053500
1	21.815000
1	21.934500
1	21.338000
1	21.100000
1	21.696000
1	21.457500
1	21.338000
1	21.576500
1	20.503500
1	20.503500
1	21.696000
1	24.199000
1	22.411000
1	23.961000
1	23.841500
1	27.537000
1	33.140000
1	29.921500
1	24.437500
1	23.722500
1	24.914500
1	28.729000
1	22.649500
1	22.411000
1	21.576500
1	22.530500
1	27.418000
1	24.318500
1	34.928000
1	40.292500
1	30.159500
1	21.576500
1	22.411000
1	21.338000
1	19.073000
1	19.192500
1	20.384500
1	19.550000
1	19.788500
1	20.980500
1	19.788500
1	20.146000
1	20.742000
1	19.907500
1	19.788500
1	19.073000
1	19.073000
1	19.192500
1	19.311500
1	19.192500
1	18.119500
1	19.311500
1	19.073000
1	19.431000
1	20.146000
1	22.053500
1	20.503500
1	21.696000
1	19.311500
1	20.265500
